id,referencia,marca,capacidad,ciudad,responsable
2875,ACH22,RICO,1829,Sabaneta,Luis Perez
1845,ACH22,RICO,1123,Envigado,Daniel Quitero
2732,ACH43,SONY,1363,Sabaneta,Federico Gutierrez
4721,ACH01,KALLEY,1957,Medellín,Anibal Gaviria
6241,ACH43,RICO,997,Bello,Luis Perez
3374,ACH01,SONY,460,Sabaneta,Daniel Quitero
762,ACH43,RICO,137,Medellín,Sergio Fajardo
6264,ACH01,KALLEY,1881,Sabaneta,Anibal Gaviria
3453,ACH22,RICO,1175,Envigado,Anibal Gaviria
1228,ACH22,SONY,1897,Bello,Daniel Quitero
8137,ACH01,KALLEY,1776,Caldas,Sergio Fajardo
1039,ACH01,SONY,765,Medellín,Luis Perez
6500,ACH22,SONY,1193,Envigado,Luis Perez
8814,ACH22,KALLEY,1191,Envigado,Luis Perez
7479,ACH22,SONY,761,Medellín,Anibal Gaviria
5567,ACH01,RICO,1000,Bello,Daniel Quitero
331,ACH01,SONY,143,Bello,Luis Perez
6073,ACH43,RICO,1343,Sabaneta,Sergio Fajardo
4063,ACH01,KALLEY,175,Sabaneta,Daniel Quitero
872,ACH01,KALLEY,249,Bello,Federico Gutierrez
4972,ACH01,SONY,1275,Medellín,Federico Gutierrez
1719,ACH22,RICO,225,Envigado,Sergio Fajardo
3521,ACH43,RICO,1115,Sabaneta,Daniel Quitero
8796,ACH01,KALLEY,1638,Bello,Luis Perez
6390,ACH22,KALLEY,1664,Medellín,Luis Perez
9799,ACH22,KALLEY,786,Caldas,Sergio Fajardo
6678,ACH43,KALLEY,749,Bello,Luis Perez
1475,ACH01,KALLEY,1480,Envigado,Daniel Quitero
9366,ACH22,KALLEY,1805,Envigado,Daniel Quitero
5981,ACH01,RICO,1472,Medellín,Sergio Fajardo
4485,ACH43,SONY,1539,Medellín,Sergio Fajardo
1329,ACH22,RICO,468,Caldas,Federico Gutierrez
2053,ACH22,SONY,633,Bello,Federico Gutierrez
7372,ACH22,SONY,465,Bello,Sergio Fajardo
9758,ACH01,RICO,1618,Caldas,Luis Perez
7430,ACH01,SONY,1189,Envigado,Sergio Fajardo
1238,ACH01,RICO,334,Envigado,Federico Gutierrez
2624,ACH01,SONY,996,Bello,Daniel Quitero
6929,ACH01,KALLEY,1337,Bello,Anibal Gaviria
2438,ACH22,RICO,348,Medellín,Daniel Quitero
5324,ACH01,KALLEY,465,Sabaneta,Federico Gutierrez
8748,ACH22,KALLEY,1719,Sabaneta,Daniel Quitero
1092,ACH22,KALLEY,894,Envigado,Federico Gutierrez
7143,ACH01,KALLEY,1537,Envigado,Federico Gutierrez
5677,ACH43,KALLEY,1010,Medellín,Anibal Gaviria
2330,ACH01,KALLEY,989,Caldas,Luis Perez
4019,ACH22,KALLEY,1891,Sabaneta,Daniel Quitero
2597,ACH43,SONY,1710,Envigado,Luis Perez
9338,ACH01,RICO,504,Sabaneta,Daniel Quitero
6542,ACH01,RICO,423,Caldas,Federico Gutierrez
4374,ACH22,KALLEY,1008,Caldas,Federico Gutierrez
9035,ACH01,RICO,948,Envigado,Sergio Fajardo
7865,ACH43,SONY,1963,Envigado,Anibal Gaviria
6715,ACH43,RICO,1290,Caldas,Daniel Quitero
